timestamp,process,protocol,local,remote,remote_host,status
2026-03-30 15:33:13,APSDaemon.exe,TCP,192.168.1.101:65353,17.249.252.4:5223,-,ESTABLISHED
2026-03-30 15:33:13,Code.exe,TCP,192.168.1.101:59158,20.189.173.23:443,-,ESTABLISHED
2026-03-30 15:33:13,MEGAsync.exe,TCP,192.168.1.101:59025,185.206.25.61:443,-,ESTABLISHED
2026-03-30 15:33:13,MEGAsync.exe,TCP,192.168.1.101:56279,185.206.25.64:443,-,ESTABLISHED
2026-03-30 15:33:13,MEGAsync.exe,TCP,192.168.1.101:49902,185.206.25.64:443,-,ESTABLISHED
2026-03-30 15:33:13,MEGAsync.exe,TCP,192.168.1.101:56908,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:33:13,MEGAsync.exe,TCP,192.168.1.101:56909,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:33:13,MEGAsync.exe,TCP,192.168.1.101:53673,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:33:13,MEGAsync.exe,TCP,192.168.1.101:64794,66.203.125.12:443,-,ESTABLISHED
2026-03-30 15:33:13,MEGAsync.exe,TCP,192.168.1.101:49667,66.203.125.15:443,-,ESTABLISHED
2026-03-30 15:33:13,MEGAsync.exe,TCP,192.168.1.101:50213,66.203.125.28:443,-,ESTABLISHED
2026-03-30 15:33:13,Spotify.exe,TCP,192.168.1.101:59766,104.199.65.9:443,-,ESTABLISHED
2026-03-30 15:33:17,Spotify.exe,TCP,192.168.1.101:62170,172.217.192.188:5228,-,ESTABLISHED
2026-03-30 15:33:33,Code.exe,TCP,192.168.1.101:56079,20.189.173.23:443,-,ESTABLISHED
2026-03-30 15:33:33,Spotify.exe,TCP,192.168.1.101:50888,35.186.224.38:443,-,ESTABLISHED
2026-03-30 15:33:53,MEGAsync.exe,TCP,192.168.1.101:61728,185.206.25.63:443,-,ESTABLISHED
2026-03-30 15:33:57,MEGAsync.exe,TCP,192.168.1.101:61732,185.206.25.65:443,-,ESTABLISHED
2026-03-30 15:34:18,Code.exe,TCP,192.168.1.101:64957,52.168.117.171:443,-,ESTABLISHED
2026-03-30 15:35:07,Code.exe,TCP,2804:426c:1b00:2f7c:a45f:39eb:ab82:107a:61727,2620:1ec:29:1::34:443,-,SYN_SENT
2026-03-30 15:35:07,Code.exe,TCP,192.168.1.101:64484,40.71.11.167:443,-,ESTABLISHED
2026-03-30 15:35:07,Code.exe,TCP,192.168.1.101:56145,52.168.117.171:443,-,ESTABLISHED
2026-03-30 15:35:23,Code.exe,TCP,192.168.1.101:49670,13.107.226.34:443,-,ESTABLISHED
